project_id,issue_id,issue_key,snapshot_date,snapshot_number,issue_type,priority,status,story_points,story_points_missing,timespent,assignee,sprint,task_age_days,status_change_count,priority_change_count,assignee_change_count,story_point_change_count,estimate_change_count,changes_last_7_days,actual_duration_days,task_risk_level
18,52424,JRASERVER-71708,2020-10-18 14:24:38,1,Unknown,Unknown,Unknown,0.0,1,0.0,<UNKNOWN_USER>,Unknown,1.7133333333333334,0,0,1,0,0,1,1.7134606481481482,Low
18,77035,JRASERVER-71652,2020-10-07 14:02:02,1,Unknown,Unknown,In Progress,0.0,1,0.0,Unknown,Unknown,0.5865972222222222,1,0,0,0,0,1,2.5932175925925924,Low
18,77035,JRASERVER-71652,2020-10-07 14:02:05,2,Unknown,Unknown,Waiting for Release,0.0,1,0.0,Unknown,Unknown,0.5866319444444444,2,0,0,0,0,2,2.5932175925925924,Low
18,77040,JRASERVER-71646,2020-10-05 21:21:48,1,Unknown,Unknown,In Progress,0.0,1,0.0,Unknown,Unknown,0.0005902777777777,1,0,0,0,0,1,2.442523148148148,Low
18,77040,JRASERVER-71646,2020-10-05 21:21:51,2,Unknown,Unknown,Waiting for Release,0.0,1,0.0,Unknown,Unknown,0.000625,2,0,0,0,0,2,2.442523148148148,Low
18,77050,JRASERVER-71633,2020-09-30 08:27:02,1,Unknown,Unknown,In Progress,0.0,1,0.0,Unknown,Unknown,0.0001967592592592,1,0,0,0,0,1,7.230208333333334,Medium
18,77050,JRASERVER-71633,2020-09-30 08:28:05,2,Unknown,Unknown,In Progress,0.0,1,0.0,45393,Unknown,0.0009259259259259,1,0,1,0,0,2,7.230208333333334,Medium
18,77050,JRASERVER-71633,2020-09-30 11:12:41,3,Unknown,Unknown,Waiting for Release,0.0,1,0.0,45393,Unknown,0.1152314814814814,2,0,1,0,0,3,7.230208333333334,Medium
18,77055,JRASERVER-71628,2020-10-06 07:59:55,1,Unknown,Unknown,Gathering Impact,0.0,1,0.0,Unknown,Unknown,7.167361111111111,1,0,0,0,0,1,8.2303125,Medium
18,77097,JRASERVER-71581,2020-09-21 07:18:26,1,Unknown,Unknown,Unknown,0.0,1,0.0,<UNKNOWN_USER>,Unknown,2.599826388888889,0,0,1,0,0,1,2.60037037037037,Low
