ID,Issue_Key,Project_ID,Type,Priority,Status,Resolution,Creation_Date,Estimation_Date,Resolution_Date,Last_Updated,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Assignee_ID
402585,TIMOB-28207,12,Bug,None,Resolved,,2020-10-23 10:17:14,,,2020-10-24 13:46:06,,,16.0,1645.0,0.0,166007.0
402586,TIMOB-28206,12,Bug,High,Open,,2020-10-22 14:24:58,,,2020-10-22 14:28:35,,,0.0,0.0,0.0,
402587,TIMOB-28205,12,Bug,None,Open,,2020-10-19 16:55:33,,,2020-10-19 20:32:38,,,0.0,0.0,0.0,166011.0
402588,TIMOB-28204,12,Bug,High,Open,,2020-10-19 14:53:40,,,2020-10-19 14:53:40,,,0.0,0.0,0.0,
402589,TIMOB-28203,12,Improvement,High,In QE Test,,2020-10-17 15:41:42,2020-10-17 15:41:42,,2020-10-23 02:32:47,8.0,,10.0,0.0,0.0,166009.0
402590,TIMOB-28202,12,Bug,Critical,Resolved,Fixed,2020-10-16 12:37:30,2020-10-16 12:37:30,2020-10-19 21:32:49,2020-10-23 02:38:26,1.0,,0.0,0.0,4855.0,166014.0
402591,TIMOB-28200,12,Bug,High,Resolved,,2020-10-15 18:08:14,2020-10-15 18:08:14,,2020-10-23 02:38:26,5.0,,45.0,1722.0,0.0,166011.0
402592,TIMOB-28199,12,Improvement,Low,Open,,2020-10-15 18:04:51,2020-10-15 18:04:51,,2020-10-23 02:32:47,3.0,,0.0,0.0,0.0,166018.0
402593,TIMOB-28198,12,Improvement,Low,Open,,2020-10-15 17:59:49,2020-10-15 17:59:49,,2020-10-23 02:32:47,3.0,,0.0,0.0,0.0,166018.0
402594,TIMOB-28197,12,Bug,Medium,Closed,Won't Fix,2020-10-15 17:28:17,2020-10-15 17:28:17,2020-10-21 16:50:09,2020-10-21 16:50:25,5.0,,31.0,8574.0,8601.0,166018.0
402595,TIMOB-28195,12,Improvement,None,In Review,,2020-10-14 20:57:01,,,2020-10-15 14:31:35,,,0.0,0.0,0.0,166007.0
402596,TIMOB-28194,12,Bug,Critical,Open,,2020-10-14 14:16:57,,,2020-10-14 20:56:10,,,0.0,0.0,0.0,
402597,TIMOB-28193,12,Bug,Critical,In QE Test,,2020-10-13 22:29:16,2020-10-13 22:29:16,,2020-10-23 23:40:49,3.0,,0.0,0.0,0.0,166019.0
402598,TIMOB-28190,12,Bug,Critical,Open,,2020-10-13 11:30:35,,,2020-10-14 14:18:55,,,0.0,0.0,0.0,
402599,TIMOB-28189,12,Bug,Critical,Resolved,,2020-10-13 00:05:51,2020-10-13 00:05:51,,2020-10-23 02:38:01,3.0,,60.0,12359.0,0.0,166019.0
402600,TIMOB-28187,12,Improvement,Low,Open,,2020-10-12 22:35:08,,,2020-10-12 22:35:08,,,0.0,0.0,0.0,166019.0
402601,TIMOB-28186,12,Bug,Low,Open,,2020-10-09 15:05:39,,,2020-10-09 15:05:49,,,0.0,0.0,0.0,
402602,TIMOB-28185,12,Bug,High,Resolved,,2020-10-09 14:26:29,2020-10-09 14:26:29,,2020-10-24 13:45:10,3.0,,0.0,20451.0,0.0,166009.0
402603,TIMOB-28183,12,Improvement,Medium,Closed,Fixed,2020-10-09 03:03:48,2020-10-09 03:03:48,2020-10-22 22:22:28,2020-10-22 22:22:28,5.0,,247.0,5106.0,19878.0,166019.0
402604,TIMOB-28182,12,Improvement,Medium,Open,,2020-10-09 01:06:23,,,2020-10-09 01:10:42,,,0.0,0.0,0.0,166019.0
402605,TIMOB-28181,12,Bug,High,Resolved,,2020-10-08 08:37:16,2020-10-08 08:37:16,,2020-10-23 15:14:26,5.0,,0.0,19510.0,0.0,166014.0
402606,TIMOB-28178,12,Bug,Critical,Resolved,,2020-10-07 16:01:58,2020-10-07 16:01:58,,2020-10-23 21:50:39,1.0,,15.0,1252.0,0.0,166019.0
402607,TIMOB-28177,12,Bug,Low,Resolved,,2020-10-07 19:50:44,2020-10-07 19:50:44,,2020-10-23 02:37:42,3.0,,8435.0,17379.0,0.0,166019.0
