project_id,snapshot_date,project_age_days,total_tasks,completed_tasks,pending_tasks,completion_percentage,transition_count,reassignment_count,reopen_count,updated_by_count,assignee_count,critical_task_count,high_priority_task_count,bug_count,story_count,future_completed_30d,future_delayed_30d,future_delayed_rate,dynamic_risk_level,completion_percentage_change_1w,total_tasks_change_1w,pending_tasks_change_1w,transition_count_change_1w,reassignment_count_change_1w,reopen_count_change_1w,completion_percentage_change_4w,total_tasks_change_4w,pending_tasks_change_4w,transition_count_change_4w,reassignment_count_change_4w,reopen_count_change_4w,completion_change_1w,completion_change_4w,tasks_change_1w,tasks_change_4w,pending_change_1w,pending_change_4w,transition_change_1w,transition_change_4w,reassignment_change_1w,reassignment_change_4w,reopen_change_1w,reopen_change_4w,new_tasks_4w,completion_rate_4w,task_growth_rate_4w,transitions_per_task_1w,reassignments_per_task_1w,reopens_per_task_1w,pending_ratio,pending_growth_4w
10000,2007-09-23 08:07:54+00:00,28.0,69,11.0,58.0,15.942028985507244,108,57,4,322,99,6,54,0,0,26.0,0.0,0.0,Low,3.2436162870945466,6.0,3.0,11.0,2.0,1.0,15.942028985507244,68.0,57.0,107.0,56.0,4.0,3.2436162870945466,15.942028985507244,6.0,68.0,3.0,57.0,11.0,107.0,2.0,56.0,1.0,4.0,68.0,15.942028985507244,68.0,0.15942028985507245,0.028985507246376812,0.014492753623188406,0.8405797101449275,57.0
10000,2007-09-30 08:07:54+00:00,35.0,86,17.0,69.0,19.76744186046512,140,72,4,407,123,12,63,0,0,23.0,0.0,0.0,Low,3.825412874957875,17.0,11.0,32.0,15.0,0.0,6.609547123623015,48.0,36.0,77.0,26.0,2.0,3.825412874957875,6.609547123623015,17.0,48.0,11.0,36.0,32.0,77.0,15.0,26.0,0.0,2.0,48.0,6.609547123623015,1.263157894736842,0.37209302325581395,0.1744186046511628,0.0,0.8023255813953488,1.0909090909090908
10000,2007-10-07 08:07:54+00:00,42.0,93,25.0,68.0,26.881720430107524,152,78,4,441,133,12,68,0,0,15.0,0.0,0.0,Low,7.114278569642405,7.0,-1.0,12.0,6.0,0.0,12.066905615292713,39.0,22.0,64.0,23.0,1.0,7.114278569642405,12.066905615292713,7.0,39.0,-1.0,22.0,12.0,64.0,6.0,23.0,0.0,1.0,39.0,12.066905615292713,0.7222222222222222,0.12903225806451613,0.06451612903225806,0.0,0.7311827956989247,0.4782608695652174
10000,2007-10-14 08:07:54+00:00,49.0,98,34.0,64.0,34.69387755102041,159,80,4,463,139,12,70,0,0,6.0,0.0,0.0,Low,7.812157120912882,5.0,-4.0,7.0,2.0,0.0,21.99546485260771,35.0,9.0,62.0,25.0,1.0,7.812157120912882,21.99546485260771,5.0,35.0,-4.0,9.0,7.0,62.0,2.0,25.0,0.0,1.0,35.0,21.99546485260771,0.5555555555555556,0.07142857142857142,0.02040816326530612,0.0,0.6530612244897959,0.16363636363636364
10000,2007-10-21 08:07:54+00:00,56.0,101,36.0,65.0,35.64356435643564,164,80,4,477,142,12,73,0,0,4.0,0.0,0.0,Low,0.949686805415233,3.0,1.0,5.0,0.0,0.0,19.701535370928397,32.0,7.0,56.0,23.0,0.0,0.949686805415233,19.701535370928397,3.0,32.0,1.0,7.0,5.0,56.0,0.0,23.0,0.0,0.0,32.0,19.701535370928397,0.463768115942029,0.04950495049504951,0.0,0.0,0.6435643564356436,0.1206896551724138
10000,2008-03-02 08:07:54+00:00,189.0,308,40.0,268.0,12.987012987012983,479,196,10,1503,411,23,219,0,0,3.0,0.0,0.0,Low,-22.656551369422658,207.0,203.0,315.0,116.0,6.0,-6.780428873452136,222.0,199.0,339.0,124.0,6.0,-22.656551369422658,-6.780428873452136,207.0,222.0,203.0,199.0,315.0,339.0,116.0,124.0,6.0,6.0,222.0,-6.780428873452136,2.5813953488372094,1.0227272727272727,0.37662337662337664,0.01948051948051948,0.8701298701298701,2.8840579710144927
10000,2008-03-09 08:07:54+00:00,196.0,310,40.0,270.0,12.903225806451612,481,196,10,1512,413,23,220,0,0,18.0,2.0,0.1111111111111111,Medium,-0.08378718056137124,2.0,2.0,2.0,0.0,0.0,-13.978494623655912,217.0,202.0,329.0,118.0,6.0,-0.08378718056137124,-13.978494623655912,2.0,217.0,2.0,202.0,2.0,329.0,0.0,118.0,0.0,6.0,217.0,-13.978494623655912,2.3333333333333335,0.0064516129032258064,0.0,0.0,0.8709677419354839,2.9705882352941178
10000,2008-03-16 08:07:54+00:00,203.0,319,40.0,279.0,12.539184952978054,490,197,10,1553,422,24,227,0,0,22.0,2.0,0.0909090909090909,Medium,-0.36404085347355775,9.0,9.0,9.0,1.0,0.0,-22.154692598042352,221.0,215.0,331.0,117.0,6.0,-0.36404085347355775,-22.154692598042352,9.0,221.0,9.0,215.0,9.0,331.0,1.0,117.0,0.0,6.0,221.0,-22.154692598042352,2.2551020408163267,0.02821316614420063,0.003134796238244514,0.0,0.8746081504702194,3.359375
10000,2008-03-23 08:07:54+00:00,210.0,327,40.0,287.0,12.232415902140673,501,201,10,1593,432,24,231,0,0,30.0,3.0,0.1,Medium,-0.3067690508373815,8.0,8.0,11.0,4.0,0.0,-23.411148454294967,226.0,222.0,337.0,121.0,6.0,-0.3067690508373815,-23.411148454294967,8.0,226.0,8.0,222.0,11.0,337.0,4.0,121.0,0.0,6.0,226.0,-23.411148454294967,2.237623762376238,0.03363914373088685,0.012232415902140673,0.0,0.8776758409785933,3.4153846153846152
10000,2008-03-30 08:07:54+00:00,217.0,333,40.0,293.0,12.012012012012011,507,207,10,1622,441,25,234,0,0,33.0,4.0,0.1212121212121212,Medium,-0.22040389012866157,6.0,6.0,6.0,6.0,0.0,-0.975000975000972,25.0,25.0,28.0,11.0,0.0,-0.22040389012866157,-0.975000975000972,6.0,25.0,6.0,25.0,6.0,28.0,6.0,11.0,0.0,0.0,25.0,-0.975000975000972,0.08116883116883117,0.018018018018018018,0.018018018018018018,0.0,0.8798798798798799,0.09328358208955224
